Index	Longitude	Latitude	Depth	Salinity_current	Temperature_current	Salinity_future	Temperature_future	Fucus_vesiculosus_bio	Idotea_baltica_abu	POINT_X	POINT_Y
159	21.82237	58.30144	1.2	6.3441438675	17.3334274292	4.4768753052	18.552696228	0.00	1111.25	372342.882899999	6464380.8379
160	21.82385	58.5064	2.4	6.6719331741	16.0255584717	4.6361384392	17.8648777008	0.00	0.00	373170.083300001	6487194.1394
161	21.82408	58.41936	7.9	6.5839309692	16.4180870056	4.5960841179	18.0131759644	0.00	0.00	372869.060999996	6477504.3786
162	21.82611	58.32085	1.2	6.3674254417	17.3152561188	4.4979791641	18.5330600739	31.33	141.00	372632.102799996	6466534.4332
163	21.82645	58.40458	1.4	6.5534033775	16.6137428284	4.5826058388	18.126159668	12.15	237.50	372954.1501	6475854.5795
164	21.82749	58.37118	1	6.4711155891	16.9751987457	4.5451188087	18.320898056	0.00	0.00	372894.453699998	6472134.5269
165	21.82837	58.29384	0.3	6.3049097061	17.4707107544	4.4480175972	18.6639156342	0.00	200.00	372667.092299997	6463523.40799999
166	21.82972	58.48411	0.7	6.6168627739	16.232416153	4.6067767143	17.9639358521	0.00	91.67	373431.766099996	6484701.70949999
167	21.83234	58.3669	0.6	6.4451260567	17.0855255127	4.5321998596	18.3908500671	0.00	0.00	373162.708099998	6471648.8973
168	21.83258	58.50291	1.8	6.6522893906	16.0942115784	4.6268444061	17.8929786682	0.00	0.00	373666.1479	6486789.1545
169	21.8326	58.49437	1.8	6.6140193939	16.2256355286	4.6078748703	17.9437732697	0.00	0.00	373636.583999998	6485838.43349999
170	21.83304	58.33376	3.1	6.3734078407	17.3307800293	4.500846386	18.5492115021	0.00	47.00	373084.432499997	6467958.4331
171	21.83307	58.32067	1.7	6.341650486	17.4400901794	4.485180378	18.6287078857	9.69	47.00	373039.0986	6466501.201
172	21.83309	58.33379	3.2	6.3734078407	17.3307800293	4.500846386	18.5492115021	1.62	31.33	373087.4679	6467961.6781
173	21.83638	58.28411	0.4	6.2644782066	17.6132335663	4.4190478325	18.7811965942	0.00	225.00	373101.643700003	6462425.08989999
174	21.83653	58.28398	0.2	6.2644782066	17.6132335663	4.4190478325	18.7811965942	0.00	0.00	373109.9714	6462410.3346
175	21.83923	58.49441	2	6.5929608345	16.2802696228	4.599132061	17.9524154663	0.00	0.00	374023.134800001	6485830.4156
176	21.83952	58.50802	2.6	6.6534385681	16.0794429779	4.6293139458	17.8885974884	0.00	25.00	374088.8526	6487344.95829999
177	21.83998	58.48436	1.5	6.5963253975	16.2883796692	4.5988225937	17.9729499817	0.00	0.00	374030.806699998	6484710.22599999
178	21.84054	58.3606	2.2	6.3776078224	17.3743133545	4.4977116585	18.5784091949	0.00	47.00	373619.766699999	6470932.1028
179	21.84245	58.40815	7.4	6.5317482948	16.6857662201	4.5705566406	18.166015625	0.00	37.50	373901.827299997	6476221.80189999
180	21.8434	58.31425	0.6	6.3303003311	17.4756832123	4.4766540527	18.6582145691	1219.32	0.00	373621.141000002	6465767.0196
181	21.84452	58.49751	2.3	6.5954713821	16.2760276794	4.6003856659	17.9533367157	0.00	0.00	374342.538599997	6486165.5903
182	21.84756	58.33483	5	6.3449101448	17.4537734985	4.4862527847	18.6435394287	0.00	31.33	373938.377599999	6468050.1651
183	21.84917	58.39325	0.8	6.4613842964	17.0349273682	4.5392408371	18.3670101166	584.17	235.00	374241.239500001	6474550.504
184	21.85154	58.36082	0.2	6.3596115112	17.4559020996	4.4883880615	18.6318855286	340.12	0.00	374264.094599999	6470935.9211
185	21.85212	58.33912	3.6	6.3676800728	17.3718090057	4.495660305	18.5837345123	0.00	47.00	374220.648400001	6468519.1706
186	21.85325	58.32301	5.2	6.3079161644	17.606710434	4.469976902	18.754743576	0.00	0.00	374229.383199997	6466723.67359999
187	21.85772	58.39777	4.2	6.4729852676	16.9992046356	4.5431528091	18.3573513031	424.48	6.25	374757.062200002	6475037.67929999
188	21.86114	58.49035	4	6.5822415352	16.3364486694	4.593082428	17.9878005981	0.00	0.00	375285.676299996	6485337.50519999
189	21.86204	58.33588	1.8	6.3497133255	17.4388751984	4.4874591827	18.6344394684	3.31	152.75	374789.864200003	6468139.931
190	21.86281	58.32834	4.5	6.321618557	17.5456428528	4.475414753	18.7108001709	0.00	47.00	374808.191600002	6467299.131
191	21.86865	58.30748	1.5	6.3099246025	17.4978885651	4.4555411339	18.6830329895	64.09	0.00	375076.359800003	6464966.0782
192	21.86875	58.3946	4.6	6.4721822739	17.0364971161	4.5409984589	18.3941116333	1158.25	141.00	375390.4692	6474664.24659999
193	21.8699	58.31613	4	6.3270568848	17.4952373505	4.4731521606	18.6755962372	1.18	0.00	375180.189800001	6465926.68279999
194	21.87081	58.38903	0.8	6.4656128883	17.0740604401	4.538143158	18.4169158936	4.92	360.00	375491.183499999	6474040.35689999
195	21.87507	58.39434	0.6	6.4707942009	17.0921878815	4.5378756523	18.4476985931	0.00	0.00	375758.944799996	6474623.5795
196	21.87524	58.39526	0.5	6.4727106094	17.0885505676	4.5383524895	18.448223114	743.70	480.00	375772.126299999	6474725.68129999
197	21.87598	58.38452	0.3	6.4599061012	17.143163681	4.5334815979	18.4759807587	0.00	0.00	375777.505500003	6473528.70789999
198	21.87883	58.39907	6	6.4743885994	17.1177921295	4.5369758606	18.4813671112	0.00	329.00	375995.369000002	6475143.17749999
199	21.88007	58.25437	2.1	6.2464103699	17.5824165344	4.4011497498	18.816488266	0.00	0.00	375558.573799997	6459032.55609999
200	21.88198	58.35576	0.5	6.3984923363	17.314289093	4.5069284439	18.5541095734	0.00	0.00	376027.168399997	6470315.9736
201	21.88209	58.36517	1.8	6.4168715477	17.2714080811	4.5142703056	18.5374660492	0.00	0.00	376066.691299997	6471363.31549999
202	21.88212	58.36516	2	6.4168715477	17.2714080811	4.5142703056	18.5374660492	1.51	0.00	376068.410999998	6471362.1468
203	21.88507	58.30726	3.5	6.307076931	17.5207958221	4.4539732933	18.7083530426	0.00	0.00	376037.683600001	6464911.12469999
204	21.88876	58.3495	0.4	6.397541523	17.3079547882	4.5068268776	18.5510349274	0.00	0.00	376401.945600003	6469606.58179999
205	21.89235	58.35598	0.7	6.4084019661	17.2940616608	4.5109672546	18.5530204773	0.00	0.00	376634.719099998	6470321.3456
206	21.89721	58.40207	7	6.4549102783	17.3833580017	4.5204162598	18.7021598816	0.00	35.25	377079.992200002	6475443.31679999
207	21.89975	58.36024	1.9	6.4179501534	17.2959747314	4.5139570236	18.5661182404	0.00	0.00	377082.568899996	6470781.99769999
208	21.89982	58.36017	1.8	6.4191675186	17.2988815308	4.5141968727	18.5708389282	0.00	0.00	377086.420299999	6470774.07679999
